CODGEO;LIBGEO;AAV2020;LIBAAV2020;CATEAAV2020;DEP;REG
21312;Gurgy-la-Ville;000;Commune hors attraction des villes;30;21;27
21313;Gurgy-le-Château;000;Commune hors attraction des villes;30;21;27
21314;Hauteroche;000;Commune hors attraction des villes;30;21;27
21315;Hauteville-lès-Dijon;028;Dijon;20;21;27
21316;Heuilley-sur-Saône;028;Dijon;20;21;27
21317;Is-sur-Tille;028;Dijon;20;21;27
21319;Izeure;028;Dijon;20;21;27
21320;Izier;028;Dijon;20;21;27
21321;Jailly-les-Moulins;000;Commune hors attraction des villes;30;21;27
21322;Jallanges;174;Beaune;20;21;27
21323;Jancigny;028;Dijon;20;21;27
21324;Jeux-lès-Bard;392;Semur-en-Auxois;20;21;27
21325;Jouey;000;Commune hors attraction des villes;30;21;27
21326;Jours-lès-Baigneux;000;Commune hors attraction des villes;30;21;27
21327;Val-Mont;174;Beaune;20;21;27
21328;Juillenay;000;Commune hors attraction des villes;30;21;27
21329;Juilly;392;Semur-en-Auxois;20;21;27
21330;Labergement-Foigney;028;Dijon;20;21;27
21331;Labergement-lès-Auxonne;028;Dijon;20;21;27
21332;Labergement-lès-Seurre;174;Beaune;20;21;27
21333;Labruyère;028;Dijon;20;21;27
21334;Lacanche;000;Commune hors attraction des villes;30;21;27
21335;Lacour-d'Arcenay;000;Commune hors attraction des villes;30;21;27
21336;Laignes;365;Châtillon-sur-Seine;20;21;27
21337;Lamarche-sur-Saône;028;Dijon;20;21;27
21338;Lamargelle;028;Dijon;20;21;27
21339;Lantenay;028;Dijon;20;21;27
21340;Lanthes;174;Beaune;20;21;27
21341;Lantilly;392;Semur-en-Auxois;20;21;27
21342;Laperrière-sur-Saône;000;Commune hors attraction des villes;30;21;27
21343;Larrey;365;Châtillon-sur-Seine;20;21;27
21344;Lechâtelet;028;Dijon;20;21;27
21345;Léry;028;Dijon;20;21;27
21346;Leuglay;365;Châtillon-sur-Seine;20;21;27
21347;Levernois;174;Beaune;20;21;27
21348;Licey-sur-Vingeanne;028;Dijon;20;21;27
21349;Liernais;000;Commune hors attraction des villes;30;21;27
21350;Lignerolles;160;Chaumont;20;21;27
21351;Longchamp;028;Dijon;20;21;27
21352;Longeault-Pluvault;028;Dijon;20;21;27
21353;Longecourt-en-Plaine;028;Dijon;20;21;27
21354;Longecourt-lès-Culêtre;000;Commune hors attraction des villes;30;21;27
21355;Longvic;028;Dijon;20;21;27
21356;Losne;028;Dijon;20;21;27
21357;Louesme;365;Châtillon-sur-Seine;20;21;27
21358;Lucenay-le-Duc;442;Montbard;20;21;27
21359;Lucey;000;Commune hors attraction des villes;30;21;27
21360;Lusigny-sur-Ouche;174;Beaune;20;21;27
21361;Lux;028;Dijon;20;21;27
21362;Maconge;028;Dijon;20;21;27
21363;Magnien;000;Commune hors attraction des villes;30;21;27
21364;Magny-Lambert;000;Commune hors attraction des villes;30;21;27
21365;Magny-la-Ville;392;Semur-en-Auxois;20;21;27
21366;Magny-lès-Aubigny;028;Dijon;20;21;27
21367;Magny-Montarlot;028;Dijon;20;21;27
21368;Magny-lès-Villers;174;Beaune;20;21;27
21369;Magny-Saint-Médard;028;Dijon;20;21;27
21370;Magny-sur-Tille;028;Dijon;20;21;27
21371;Les Maillys;028;Dijon;20;21;27
21372;Maisey-le-Duc;365;Châtillon-sur-Seine;20;21;27
21373;Mâlain;028;Dijon;20;21;27
21374;Maligny;000;Commune hors attraction des villes;30;21;27
21375;Manlay;000;Commune hors attraction des villes;30;21;27
21376;Marandeuil;028;Dijon;20;21;27
21377;Marcellois;028;Dijon;20;21;27
21378;Marcenay;365;Châtillon-sur-Seine;20;21;27
21379;Marcheseuil;000;Commune hors attraction des villes;30;21;27
21380;Marcigny-sous-Thil;392;Semur-en-Auxois;20;21;27
21381;Marcilly-et-Dracy;392;Semur-en-Auxois;20;21;27
21382;Marcilly-Ogny;000;Commune hors attraction des villes;30;21;27
21383;Marcilly-sur-Tille;028;Dijon;20;21;27
21384;Marey-lès-Fussey;028;Dijon;20;21;27
21385;Marey-sur-Tille;028;Dijon;20;21;27
21386;Marigny-le-Cahouët;392;Semur-en-Auxois;20;21;27
21387;Marigny-lès-Reullée;174;Beaune;20;21;27
21388;Marliens;028;Dijon;20;21;27
21389;Marmagne;442;Montbard;20;21;27
21390;Marsannay-la-Côte;028;Dijon;20;21;27
21391;Marsannay-le-Bois;028;Dijon;20;21;27
21392;Martrois;028;Dijon;20;21;27
21393;Massingy;365;Châtillon-sur-Seine;20;21;27
21394;Massingy-lès-Semur;392;Semur-en-Auxois;20;21;27
21395;Massingy-lès-Vitteaux;000;Commune hors attraction des villes;30;21;27
21396;Mauvilly;000;Commune hors attraction des villes;30;21;27
21397;Mavilly-Mandelot;174;Beaune;20;21;27
21398;Maxilly-sur-Saône;028;Dijon;20;21;27
21399;Meilly-sur-Rouvres;028;Dijon;20;21;27
21400;Le Meix;028;Dijon;20;21;27
21401;Meloisey;174;Beaune;20;21;27
21402;Menesble;000;Commune hors attraction des villes;30;21;27
21403;Ménessaire;000;Commune hors attraction des villes;30;21;27
21404;Ménétreux-le-Pitois;619;Venarey-les-Laumes;20;21;27
21405;Merceuil;174;Beaune;20;21;27
21406;Mesmont;028;Dijon;20;21;27
21407;Messanges;028;Dijon;20;21;27
21408;Messigny-et-Vantoux;028;Dijon;20;21;27
21409;Meuilley;028;Dijon;20;21;27
21410;Meulson;000;Commune hors attraction des villes;30;21;27
21411;Meursanges;174;Beaune;20;21;27
21412;Meursault;174;Beaune;20;21;27
21413;Millery;392;Semur-en-Auxois;20;21;27
21414;Mimeure;000;Commune hors attraction des villes;30;21;27
21415;Minot;000;Commune hors attraction des villes;30;21;27
21416;Mirebeau-sur-Bèze;028;Dijon;20;21;27
21417;Missery;000;Commune hors attraction des villes;30;21;27
21418;Moitron;000;Commune hors attraction des villes;30;21;27
21419;Molesme;000;Commune hors attraction des villes;30;21;27
21420;Molinot;000;Commune hors attraction des villes;30;21;27
21421;Moloy;028;Dijon;20;21;27
21422;Molphey;000;Commune hors attraction des villes;30;21;27
21423;Montagny-lès-Beaune;174;Beaune;20;21;27
21424;Montagny-lès-Seurre;028;Dijon;20;21;27
21425;Montbard;442;Montbard;11;21;27
21426;Montberthault;392;Semur-en-Auxois;20;21;27
21427;Montceau-et-Écharnant;174;Beaune;20;21;27
21428;Monthelie;174;Beaune;20;21;27
21429;Montigny-Montfort;442;Montbard;20;21;27
21430;Montigny-Saint-Barthélemy;392;Semur-en-Auxois;20;21;27
21431;Montigny-sur-Armançon;392;Semur-en-Auxois;20;21;27
21432;Montigny-sur-Aube;000;Commune hors attraction des villes;30;21;27
21433;Montigny-Mornay-Villeneuve-sur-Vingeanne;028;Dijon;20;21;27
21434;Montlay-en-Auxois;000;Commune hors attraction des villes;30;21;27
21435;Montliot-et-Courcelles;365;Châtillon-sur-Seine;20;21;27
21436;Montmain;028;Dijon;20;21;27
21437;Montmançon;028;Dijon;20;21;27
21438;Montmoyen;365;Châtillon-sur-Seine;20;21;27
21439;Montoillot;028;Dijon;20;21;27
21440;Montot;028;Dijon;20;21;27
21441;Mont-Saint-Jean;000;Commune hors attraction des villes;30;21;27
21442;Morey-Saint-Denis;028;Dijon;20;21;27
21444;Mosson;365;Châtillon-sur-Seine;20;21;27
21445;La Motte-Ternant;000;Commune hors attraction des villes;30;21;27
21446;Moutiers-Saint-Jean;392;Semur-en-Auxois;20;21;27
21447;Musigny;000;Commune hors attraction des villes;30;21;27
21448;Mussy-la-Fosse;392;Semur-en-Auxois;20;21;27
21449;Nan-sous-Thil;392;Semur-en-Auxois;20;21;27
21450;Nantoux;174;Beaune;20;21;27
21451;Nesle-et-Massoult;000;Commune hors attraction des villes;30;21;27
21452;Neuilly-Crimolois;028;Dijon;20;21;27
21454;Nicey;365;Châtillon-sur-Seine;20;21;27
21455;Nod-sur-Seine;365;Châtillon-sur-Seine;20;21;27
21456;Nogent-lès-Montbard;442;Montbard;20;21;27
21457;Noidan;392;Semur-en-Auxois;20;21;27
21458;Noiron-sous-Gevrey;028;Dijon;20;21;27
21459;Noiron-sur-Bèze;028;Dijon;20;21;27
21460;Noiron-sur-Seine;365;Châtillon-sur-Seine;20;21;27
21461;Nolay;000;Commune hors attraction des villes;30;21;27
21462;Norges-la-Ville;028;Dijon;20;21;27
21463;Normier;392;Semur-en-Auxois;20;21;27
21464;Nuits-Saint-Georges;028;Dijon;20;21;27
21465;Obtrée;365;Châtillon-sur-Seine;20;21;27
21466;Oigny;000;Commune hors attraction des villes;30;21;27
21467;Oisilly;028;Dijon;20;21;27
21468;Orain;028;Dijon;20;21;27
21469;Orgeux;028;Dijon;20;21;27
21470;Origny;000;Commune hors attraction des villes;30;21;27
21471;Orret;000;Commune hors attraction des villes;30;21;27
21472;Orville;028;Dijon;20;21;27
21473;Ouges;028;Dijon;20;21;27
21474;Pagny-la-Ville;028;Dijon;20;21;27
21475;Pagny-le-Château;028;Dijon;20;21;27
21476;Painblanc;000;Commune hors attraction des villes;30;21;27
21477;Panges;028;Dijon;20;21;27
21478;Pasques;028;Dijon;20;21;27
21479;Pellerey;028;Dijon;20;21;27
21480;Pernand-Vergelesses;174;Beaune;20;21;27
21481;Perrigny-lès-Dijon;028;Dijon;20;21;27
21482;Perrigny-sur-l'Ognon;028;Dijon;20;21;27
21483;Pichanges;028;Dijon;20;21;27
21484;Planay;442;Montbard;20;21;27
21485;Plombières-lès-Dijon;028;Dijon;20;21;27
21487;Pluvet;028;Dijon;20;21;27
21488;Poinçon-lès-Larrey;365;Châtillon-sur-Seine;20;21;27
21489;Poiseul-la-Grange;028;Dijon;20;21;27
21490;Poiseul-la-Ville-et-Laperrière;000;Commune hors attraction des villes;30;21;27
21491;Poiseul-lès-Saulx;028;Dijon;20;21;27
21492;Pommard;174;Beaune;20;21;27
21493;Poncey-lès-Athée;028;Dijon;20;21;27
21494;Poncey-sur-l'Ignon;028;Dijon;20;21;27
21495;Pont;028;Dijon;20;21;27
21496;Pontailler-sur-Saône;028;Dijon;20;21;27
21497;Pont-et-Massène;392;Semur-en-Auxois;20;21;27
21498;Posanges;000;Commune hors attraction des villes;30;21;27
21499;Pothières;365;Châtillon-sur-Seine;20;21;27
21500;Pouillenay;392;Semur-en-Auxois;20;21;27
21501;Pouilly-en-Auxois;000;Commune hors attraction des villes;30;21;27
21502;Pouilly-sur-Saône;028;Dijon;20;21;27
21503;Pouilly-sur-Vingeanne;028;Dijon;20;21;27
21504;Prâlon;028;Dijon;20;21;27
21505;Précy-sous-Thil;392;Semur-en-Auxois;20;21;27
21506;Premeaux-Prissey;000;Commune hors attraction des villes;30;21;27
21508;Prenois;028;Dijon;20;21;27
21510;Prusly-sur-Ource;365;Châtillon-sur-Seine;20;21;27
21511;Puits;365;Châtillon-sur-Seine;20;21;27
21512;Puligny-Montrachet;174;Beaune;20;21;27
21514;Quemigny-sur-Seine;000;Commune hors attraction des villes;30;21;27
21515;Quetigny;028;Dijon;20;21;27
21516;Quincerot;442;Montbard;20;21;27
21517;Quincey;028;Dijon;20;21;27
21518;Quincy-le-Vicomte;442;Montbard;20;21;27
21519;Recey-sur-Ource;365;Châtillon-sur-Seine;20;21;27
21520;Remilly-en-Montagne;028;Dijon;20;21;27
21521;Remilly-sur-Tille;028;Dijon;20;21;27
21522;Renève;028;Dijon;20;21;27
21523;Reulle-Vergy;028;Dijon;20;21;27
21524;Riel-les-Eaux;365;Châtillon-sur-Seine;20;21;27
21525;La Roche-en-Brenil;000;Commune hors attraction des villes;30;21;27
21526;Rochefort-sur-Brévon;000;Commune hors attraction des villes;30;21;27
21527;La Rochepot;174;Beaune;20;21;27
21528;La Roche-Vanneau;000;Commune hors attraction des villes;30;21;27
21529;Roilly;392;Semur-en-Auxois;20;21;27
21530;Rougemont;442;Montbard;20;21;27
21531;Rouvray;279;Avallon;20;21;27
21532;Rouvres-en-Plaine;028;Dijon;20;21;27
21533;Rouvres-sous-Meilly;028;Dijon;20;21;27
21534;Ruffey-lès-Beaune;174;Beaune;20;21;27
21535;Ruffey-lès-Echirey;028;Dijon;20;21;27
21536;Sacquenay;028;Dijon;20;21;27
21537;Saffres;028;Dijon;20;21;27
21538;Saint-Andeux;279;Avallon;20;21;27
21539;Saint-Anthot;028;Dijon;20;21;27
21540;Saint-Apollinaire;028;Dijon;12;21;27
21541;Saint-Aubin;174;Beaune;20;21;27
21542;Saint-Bernard;028;Dijon;20;21;27
21543;Saint-Broing-les-Moines;000;Commune hors attraction des villes;30;21;27
21544;Sainte-Colombe-en-Auxois;392;Semur-en-Auxois;20;21;27
21545;Sainte-Colombe-sur-Seine;365;Châtillon-sur-Seine;20;21;27
21546;Saint-Didier;000;Commune hors attraction des villes;30;21;27
21547;Saint-Euphrône;392;Semur-en-Auxois;20;21;27
21548;Saint-Germain-de-Modéon;279;Avallon;20;21;27
21549;Saint-Germain-le-Rocheux;365;Châtillon-sur-Seine;20;21;27
21550;Saint-Germain-lès-Senailly;442;Montbard;20;21;27
21552;Saint-Hélier;028;Dijon;20;21;27
21553;Saint-Jean-de-Bœuf;028;Dijon;20;21;27
21554;Saint-Jean-de-Losne;028;Dijon;20;21;27
21555;Saint-Julien;028;Dijon;20;21;27
21556;Saint-Léger-Triey;028;Dijon;20;21;27
21557;Saint-Marc-sur-Seine;365;Châtillon-sur-Seine;20;21;27
21558;Sainte-Marie-la-Blanche;174;Beaune;20;21;27
21559;Sainte-Marie-sur-Ouche;028;Dijon;20;21;27
21560;Saint-Martin-de-la-Mer;000;Commune hors attraction des villes;30;21;27
21561;Saint-Martin-du-Mont;028;Dijon;20;21;27
21562;Saint-Maurice-sur-Vingeanne;028;Dijon;20;21;27
21563;Saint-Mesmin;028;Dijon;20;21;27
21564;Saint-Nicolas-lès-Cîteaux;028;Dijon;20;21;27
21565;Saint-Philibert;028;Dijon;20;21;27
21566;Saint-Pierre-en-Vaux;000;Commune hors attraction des villes;30;21;27
21567;Saint-Prix-lès-Arnay;000;Commune hors attraction des villes;30;21;27
21568;Saint-Rémy;442;Montbard;20;21;27
21569;Saint-Romain;174;Beaune;20;21;27
21570;Sainte-Sabine;000;Commune hors attraction des villes;30;21;27
21571;Saint-Sauveur;028;Dijon;20;21;27
21572;Saint-Seine-en-Bâche;134;Dole;20;21;27
21573;Saint-Seine-l'Abbaye;028;Dijon;20;21;27
21574;Saint-Seine-sur-Vingeanne;028;Dijon;20;21;27
21575;Saint-Symphorien-sur-Saône;000;Commune hors attraction des villes;30;21;27
21576;Saint-Thibault;392;Semur-en-Auxois;20;21;27
21577;Saint-Usage;028;Dijon;20;21;27
21578;Saint-Victor-sur-Ouche;028;Dijon;20;21;27
21579;Salives;028;Dijon;20;21;27
21580;Salmaise;028;Dijon;20;21;27
21581;Samerey;134;Dole;20;21;27
21582;Santenay;000;Commune hors attraction des villes;30;21;27
21583;Santosse;174;Beaune;20;21;27
21584;Saulieu;000;Commune hors attraction des villes;30;21;27
21585;Saulon-la-Chapelle;028;Dijon;20;21;27
21586;Saulon-la-Rue;028;Dijon;20;21;27
21587;Saulx-le-Duc;028;Dijon;20;21;27
21588;Saussey;174;Beaune;20;21;27
21589;Saussy;028;Dijon;20;21;27
21590;Savigny-lès-Beaune;174;Beaune;20;21;27
21591;Savigny-le-Sec;028;Dijon;20;21;27
21592;Savigny-sous-Mâlain;028;Dijon;20;21;27
21593;Savilly;239;Autun;20;21;27
21594;Savoisy;442;Montbard;20;21;27
21595;Savolles;028;Dijon;20;21;27
21596;Savouges;028;Dijon;20;21;27
21597;Segrois;028;Dijon;20;21;27
21598;Seigny;442;Montbard;20;21;27
21599;Selongey;028;Dijon;20;21;27
21600;Semarey;028;Dijon;20;21;27
21601;Semezanges;028;Dijon;20;21;27
21602;Semond;000;Commune hors attraction des villes;30;21;27
21603;Semur-en-Auxois;392;Semur-en-Auxois;11;21;27
21604;Senailly;392;Semur-en-Auxois;20;21;27
21605;Sennecey-lès-Dijon;028;Dijon;20;21;27
21606;Ladoix-Serrigny;174;Beaune;20;21;27
21607;Seurre;000;Commune hors attraction des villes;30;21;27
